ID,Gender,Affiliation,Country of Affiliation,Are you an Early Career Scientist?,"Do you work in industry, a Start-up or Small and Medium Enterprise?",What is your scientific expertise? (Multiple Choice),Scientific expertise - Other(s):,Have you been familiar,Registration date,How did you hear about this event:,Tags,,,Countries,No_Countries,Category
38,Male,Muslim Hands International,Bangladesh,No,Yes,Computer Science; Environmental Protection; Engineering; Geohazard; Other,"GIS, Remote Sensing, Data Science",unknown,2025-09-08 14:10,Other,SDL_Trg,,,Bangladesh,1,Middle East
37,Male,Alma Mater Studiorum University of Bologna,Italy,No,No,Geohazard; Seismology; Solid Earth; Tsunami,,unknown,2025-09-08 12:33,Other,SDL_Trg,,,Italy,12,Europe
16,Male,GFZ Helmholtz Centre for Geosciences,Germany,No,No,Geohazard; Tsunami,,unknown,2025-08-08 16:24,Geo-INQUIRE mailinglist,SDL_Trg,,,Germany,6,Europe
18,Diverse,Barcelona Supercomputing Center,Spain,No,No,Computer Science; Geohazard; Other,AI,unknown,2025-08-10 21:12,Colleagues,SDL_Trg,,,Spain,11,Europe
8,Female,Universidad Católica de Chile,Chile,Yes,Yes,Engineering; Geohazard; Seismology; Tsunami,,unknown,2025-08-01 20:36,Geo-INQUIRE mailinglist,SDL_Trg,,,Chile,1,Middle/South America
34,Female,CINECA,Italy,No,Yes,Computer Science,,unknown,2025-09-05 11:28,Geo-INQUIRE website,SDL_Trg,,,Norway,3,associated countries
1,Female,LMU - Dept. of Geophysics,Germany,No,No,Computer Science,HPC,unknown,2025-07-24 08:50,Geo-INQUIRE mailinglist,SDL_Trg,,,Indonesia,1,Asia
28,Male,GFZ,Germany,Yes,Yes,Computer Science,,unknown,2025-08-28 11:33,Geo-INQUIRE website,SDL_Trg,,,Poland,1,widening countries
14,Female,BSC - CNS,Spain,No,No,Engineering,,unknown,2025-08-08 15:13,Geo-INQUIRE mailinglist,SDL_Trg,,,Georgia,1,associated countries
17,Male,Geociencias Barcelona (GEO3BCN-CSIC),Spain,No,No,Computer Science; Geohazard; Solid Earth; Volcanology,,unknown,2025-08-10 10:25,Geo-INQUIRE mailinglist,SDL_Trg,,,Morocco,1,Africa
20,Male,IH Cantabria,Spain,Yes,No,Geohazard; Marine Sciences; Tsunami,,unknown,2025-08-19 12:26,Geo-INQUIRE mailinglist,SDL_Trg,,,Turkey,1,associated countries
19,Male,NGI,Norway,No,No,Geohazard; Seismology; Solid Earth; Tsunami,,unknown,2025-08-10 22:46,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
10,Female,Geosciences Barcelona -CSIC,Spain,Yes,No,Computer Science; Geohazard; Volcanology,,unknown,2025-08-08 10:38,Other,SDL_Trg,,,,39,
40,Female,CSIC,Spain,Yes,No,Atmospheric Physics; Computer Science; Engineering; Geohazard,,unknown,2025-09-09 10:10,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
7,Male,GFZ Helmholtz Centre for Geosciences,Germany,No,No,Engineering,,unknown,2025-07-31 11:08,Geo-INQUIRE mailinglist,SDL_Trg,,,,6,widening/associated countries
32,Male,Jenderal Soedirman University,Indonesia,Yes,No,Environmental Protection; Geohazard; Marine Sciences; Seismology; Tsunami,,unknown,2025-09-03 17:12,Geo-INQUIRE website,SDL_Trg,,,,4,non-EU
9,Female,CINECA,Italy,No,Yes,Computer Science,,unknown,2025-08-05 08:25,Geo-INQUIRE website,SDL_Trg,,,,11,different countries
22,Male,Universidad de Málaga,Spain,No,No,Geohazard; Tsunami,Mathematical modeling and numerical simulation,unknown,2025-08-22 17:19,Geo-INQUIRE mailinglist,SDL_Trg,,,,14,different scientific fields
11,Female,NGI,Norway,No,No,Solid Earth; Tsunami,,unknown,2025-08-08 11:11,Other,SDL_Trg,,,,,
6,Male,University of Silesia,Poland,Yes,No,Environmental Protection; Geohazard,,unknown,2025-07-30 14:59,Geo-INQUIRE website,SDL_Trg,,,,,
39,Female,CSIC,Spain,No,No,Computer Science; Geohazard; Volcanology,,unknown,2025-09-09 09:53,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
4,Male,EMSO ERIC,Italy,No,No,Marine Sciences,,unknown,2025-07-30 13:01,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
2,Diverse,Istituto Nazionale di Geofisica e Vulcanologia,Italy,No,No,Computer Science; Volcanology,,unknown,2025-07-25 14:14,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
13,Female,BSC,Spain,No,No,Geohazard; Seismology,,unknown,2025-08-08 14:50,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
26,Male,UiB,Norway,No,No,Atmospheric Physics; Geohazard; Marine Sciences,,unknown,2025-08-27 14:18,Geo-INQUIRE website,SDL_Trg,,,,,
25,Male,University of Málaga,Spain,Yes,No,Computer Science; Marine Sciences; Tsunami,,unknown,2025-08-26 11:20,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
30,Male,Università degli studi di Salerno,Italy,Yes,No,Seismology; Solid Earth,,unknown,2025-09-01 16:40,Colleagues,SDL_Trg,,,,,
15,Male,INGV,Italy,No,No,Seismology; Tsunami,,unknown,2025-08-08 15:17,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
23,Female,Ilia State University,Georgia,Yes,No,Geohazard; Seismology,,unknown,2025-08-25 16:38,Geo-INQUIRE website,SDL_Trg,,,,,
35,Female,INGV,Italy,No,No,Geohazard; Solid Earth; Volcanology,,unknown,2025-09-05 15:06,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
3,Female,mohammadia school of enginners (EMI),Morocco,Yes,No,Engineering; Other,Mining and Geology,unknown,2025-07-28 14:17,Geo-INQUIRE website,SDL_Trg,,,,,
21,Male,UNINA (University of Naples Federico II),Italy,Yes,No,Geohazard; Seismology; Tsunami,,unknown,2025-08-20 13:39,Geo-INQUIRE website,SDL_Trg,,,,,
36,Female,Istanbul University-Cerrahpasa,Turkey,Yes,No,Seismology,,unknown,2025-09-05 23:55,Geo-INQUIRE website,SDL_Trg,,,,,
33,Male,Istituto Nazionale di Geofisica e Vulcanologia,Italy,No,No,Tsunami,,unknown,2025-09-04 13:25,Colleagues,SDL_Trg,,,,,
31,Male,Cineca,Italy,No,Yes,Computer Science; Other,,unknown,2025-09-02 17:29,Colleagues,SDL_Trg,,,,,
24,Female,INGV,Italy,No,No,Geohazard; Tsunami,,unknown,2025-08-26 09:44,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
27,Male,PERFACCT GmbH,Germany,No,Yes,Computer Science,Software Engineering,unknown,2025-08-28 11:25,Colleagues,SDL_Trg,,,,,
29,Female,Barcelona Supercomputing Center,Spain,No,No,Geohazard; Seismology; Tsunami,,unknown,2025-09-01 16:33,Geo-INQUIRE mailinglist,SDL_Trg,,,,,
5,Male,"GFZ Helmholtz Centre for Geosciences, Potsdam, Germany",Germany,Yes,No,Geohazard,,unknown,2025-07-30 13:11,Colleagues,SDL_Trg,,,,,